"Unique.I.D.","Family","Genus","Species","Leg.III.Femur..width","Leg.III.Femur..length","Leg.III.Femur..ratio..width.length.","X1...Leg.III.Femur.ratio","Prosoma..width","Prosoma..length","Prosoma..ratio..width.length.","X1...Prosoma.ratio","Opisthosoma..width","Opisthosoma..length","Opisthosoma..ratio..width.length.","X1...Opisthosoma.ratio","Pedicel..length","Body.length","Pedicel.length.body.length","Note.on.improved.colouration","Improved.colour.score","Constriction.height","Prosoma.height","Constriction.height.Prosoma.height..ratio","X1...Constriction.height.Prosoma.height..ratio","Constriction.width","Prosoma.width","Constriction.width.Prosoma.width..ratio","X1...Constriction.width.Prosoma.width..ratio","Constriction.height.1","Opisthosoma.height","Constriction.height.Opisthosoma.height..ratio","X1...Constriction.height.Opisthosoma.height..ratio","Constriction.width.1","Opisthosoma.width","Constriction.width.Opisthosoma.width..ratio","X1...Constriction.width.Opisthosoma.width..ratio","Mimic.Accuracy","X","Faux.petiole.length","Length.from.constriction.to.spinnerets","Pedicel.anterior.to.spinnerets","Final.note","mimicType","species","accuracy"
"Q84598","Corinnidae","Iridonyssus","formicans",0.2,0.68,"0.30","0.70",1.02,1.33,0.77,0.23,1.01,1.25,"0.80","0.20",0,2.64,0,"-",0,0,0.43,"N/A","0",0,1.02,"N/A",0,0,0.7,"N/A","0",0,1.01,"N/A","0",0.12,NA,NA,NA,NA,"Measurements taken from male (Raven 2015)","mimic","Iridonyssus formicans",0.922176714968747
"Q84637","Corinnidae","Iridonyssus","kohouti",0.21,0.61,"0.35","0.65",1.01,1.33,0.76,0.24,1.41,2.25,"0.63","0.37",0.25,4.62,0.05,"-",0,0,0.63,"N/A","0",0,1.32,"N/A",0,0.89,0.91,"0.99","0.01",0,1.62,"N/A","0",0.15,NA,NA,NA,NA,"Measurements taken from female as all images provided in (Raven 2015) are of the female","mimic","Iridonyssus kohouti",0.979133848715998
"JMS109","Corinnidae","Iridonyssus","kohouti",0.2,0.61,"0.33","0.67",0.89,1.18,0.76,0.24,0.91,1.48,"0.62","0.38",0.15,2.81,0.05,"-",0,0,0.59,"N/A","0",0,0.89,"N/A",0,0.84,0.85,"0.99","0.01",0,0.91,"N/A","0",0.15,NA,NA,NA,NA,"Photos only / *not sure this I.D. is correct","mimic","Iridonyssus kohouti",0.968636059357219
"Q00014","Corinnidae","Leichhardteus","albofasciatus",0.58,1.66,"0.35","0.65",2.35,3.19,0.74,0.26,1.8,2.88,"0.63","0.37",0.31,6.61,0.05,"-",0,0,1.15,"N/A","0",0,2.35,"N/A",0,0,0.95,"N/A","0",0,1.8,"N/A","0",0.15,NA,NA,NA,NA,"Baehr and Raven 2013. Measurements taken from male dorsal (except leg Measurements taken from female - Raven 2015) - Google Images show no petiole in live male","mimic","Leichhardteus albofasciatus",0.885828867409296
"Q95115","Corinnidae","Leichhardteus","conopalpis",0.49,1.32,"0.37","0.63",2.94,4.19,0.7,0.3,2.29,4.54,"0.50","0.50",0,8.76,0,"-",0,0,1.01,"N/A","0",0,2.94,"N/A",0,0,1.1,"N/A","0",0,2.29,"N/A","0",0.16,NA,NA,NA,NA,"Measurements taken from male (Raven 2015) / Baehr & Raven 2013 for additional leg measurements","mimic","Leichhardteus conopalpis",0.839988985766728
"Q98191","Corinnidae","Leptopicia","bimaculata",0.31,1.12,"0.28","0.72",1.75,2.42,0.72,0.28,1.23,2.17,"0.57","0.43",0.34,4.8,0.07,"-",0,0,0.79,"N/A","0",0,1.75,"N/A",0,NA,NA,NA,NA,0,1.23,"N/A","0",0.17,NA,NA,NA,NA,"Measurements taken from male (Raven 2015) - specimen appears slightly damaged (no lateral images)","mimic","Leptopicia bimaculata",0.979133848715998
"MCZ79128","Corinnidae","Mazax","pax",0.24,1.06,"0.23","0.77",1.3,2.32,0.56,0.44,1.3,2.5,"0.52","0.48",0.49,5.19,0.1,"Pale bands on opisthosoma",0.33,0,0.9,"N/A","0",0,1.3,"N/A",0,1.02,1.17,"0.87","0.13",1.17,1.3,"0.90","0.10",0.26,NA,1.59,1.41,3,"Photos only","mimic","Mazax pax",0.979133848715998
"MCZ28153","Corinnidae","Mazax","spinosa",0.29,1.18,"0.24","0.76",1.37,2.45,0.56,0.44,1.95,2.92,"0.67","0.33",0.47,5.85,0.08,"Pale bands on opisthosoma",0.33,0,0.72,"N/A","0",0,1.37,"N/A",0,1.33,1.37,"0.97","0.03",0,1.95,"N/A","0",0.22,NA,NA,NA,NA,"Photos only","mimic","Mazax spinosa",0.949165355452918
"MCZ67875","Corinnidae","Myrmecotypus","rettenmeyeri",0.55,2.87,"0.19","0.81",2.04,5.77,0.35,0.65,2.51,3.95,"0.64","0.36",0.34,9.85,0.03,"Dark bands on opisthosoma, light hairs on prosoma",0.67,1.53,1.67,"0.92","0.08",1.88,2.04,"0.92",0.08,1.7,1.72,"0.99","0.01",2.04,2.51,"0.81","0.19",0.32,NA,NA,NA,NA,"Photos only","mimic","Myrmecotypus rettenmeyeri",0.979133848715999
"Q44095","Corinnidae","Nucastia","supunnoides",0.37,1.38,"0.27","0.73",1.71,2.84,0.6,0.4,1.54,3.2,"0.48","0.52",0,6.26,0,"-",0,0,1.12,"N/A","0",0,1.71,"N/A",0,0,1.43,"N/A","0",0,1.54,"N/A","0",0.18,NA,NA,NA,NA,"Measurements taken from male (Raven 2015)","mimic","Nucastia supunnoides",0.658960661831378
"Q00016","Corinnidae","Nyssus","avidus",0.77,2.24,"0.34","0.66",2.71,3.64,0.74,0.26,3.06,3.82,"0.80","0.20",0,7.7,0,"-",0,0,NA,"N/A","0",0,2.71,"N/A",0,0,NA,"N/A","0",0,3.06,"N/A","0",0.12,NA,NA,NA,NA,"Raven 2015. Measurements taken from female photo and description.","mimic","Nyssus avidus",0.48489196848685
"Q50886","Corinnidae","Nyssus","luteofinis",0.45,1.25,"0.36","0.64",2.16,2.92,0.74,0.26,1.9,3.19,"0.60","0.40",0,6.5,0,"White stripe/patch on opisthosoma",0.33,0,NA,"N/A","0",0,2.16,"N/A",0,0,NA,"N/A","0",0,1.9,"N/A","0",0.18,NA,NA,NA,NA,"Measurements taken from male (Raven 2015)","mimic","Nyssus luteofinis",0.970572569295713
"Q00017","Corinnidae","Nyssus","paradoxus",0.43,1.45,"0.30","0.70",2.85,3.58,0.79,0.21,2.96,4.89,"0.61","0.39",0,8.6,0,"-",0,0,NA,"N/A","0",0,2.85,"N/A",0,0,NA,"N/A","0",0,2.96,"N/A","0",0.14,NA,NA,NA,NA,"Raven 2015: female description. Find-a-spider guide (http://www.findaspider.org.au/find/spiders/597.htm): female photo","mimic","Nyssus paradoxus",0.639571084274764
"Q84821","Corinnidae","Nysuss","albopunctatus",0.72,2.26,"0.32","0.68",2.81,3.81,0.74,0.26,4.25,5.87,"0.72","0.28",0,9.57,0,"-",0,0,1.49,"N/A","0",0,2.81,"N/A",0,0,1.83,"N/A","0",0,4.25,"N/A","0",0.14,NA,NA,NA,NA,"Measurements taken from female as all images provided in (Raven 2015) are of the female","mimic","Nysuss albopunctatus",0.495195600886702
"SHS116","Corinnidae","Nysuss","coloripes",0.47,1.36,"0.34","0.66",1.87,2.38,0.79,0.21,2.42,3.45,"0.70","0.30",0,5.92,0,"-",0,0,1.12,"0","0",0,1.87,"N/A",0,0,1.79,"N/A","0",0,2.42,"N/A","0",0.13,NA,NA,NA,NA,"Used TBS504 for measurements (same species)","mimic","Nysuss coloripes",0.857380777907968
"TBS504","Corinnidae","Nysuss","coloripes",0.45,1.29,"0.35","0.65",1.88,2.42,0.78,0.22,2.46,3.56,"0.69","0.31",0,6.09,0,"-",0,0,1.1,"0","0",0,1.88,"N/A",0,0,1.72,"N/A","0",0,2.49,"N/A","0",0.13,NA,NA,NA,NA,"Lateral videos","mimic","Nysuss coloripes",0.848253549013976
"Q84600","Corinnidae","Nysuss","semifuscus",0.66,2.23,"0.30","0.70",1.8,2.8,0.64,0.36,1.6,2.8,"0.57","0.43",0.24,5.7,0.04,"White markings on opisthosoma",0.33,0,0.98,"N/A","0",0,1.8,"N/A",0,0,1.77,"N/A","0",0,1.6,"N/A","0",0.12,NA,NA,NA,NA,"Measurements taken from male (Raven 2015). Constriction and colouration from A Field Guide to Spiders of Australia (Robert Whyte)","mimic","Nysuss semifuscus",0.777192744562297
"MCZ34637","Corinnidae","Paradiestus","gigantea",1.51,5.98,"0.25","0.75",6.41,7.78,0.82,0.18,6.22,11.16,"0.56","0.44",0,18.99,0,"-",0,0,3.04,"N/A","0",0,6.41,"N/A",0,0,6.19,"N/A","0",0,6.22,"N/A","0",0.15,NA,NA,NA,NA,"Photos only","mimic","Paradiestus gigantea",0.512415363839181
"Q84597","Corinnidae","Poecilipta","gloverae",0.24,0.77,"0.30","0.70",1.6,3,0.53,0.47,1.48,2.97,"0.50","0.50",0.17,6.19,0.03,"White stripe/patch on opisthosoma",0.33,0,0.57,"N/A","0",0,1.6,"N/A",0,0,0.83,"N/A","0",1.37,1.48,"0.93","0.07",0.23,NA,NA,NA,NA,"Measurements taken from female photo (Raven 2015) / *Note on behaviour: ""spiders exhibit comparatively strong visual and behavioural mimicry of ants with which they co-occur""","mimic","Poecilipta gloverae",0.979133848715998
"MCZ96085","Corinnidae","Serendib","suthepica",NA,NA,NA,NA,1.29,2.66,0.49,0.51,1.31,2.33,"0.56","0.44",0.11,4.97,0.02,"-",0,0.53,0.69,"0.76","0.24",1.05,1.29,"0.81",0.19,0.47,0.47,"0.99","0.01",0.83,1.31,"0.63","0.37",0.2,NA,NA,NA,NA,"Photos only (no Leg III present)","mimic","Serendib suthepica",0.938062248334761
"MCZ44162","Corinnidae","Serendib","volans",0.23,0.77,"0.30","0.70",1.32,2.02,0.65,0.35,1.81,2.4,"0.76","0.24",0.56,4.99,0.11,"-",0,0,0.89,"N/A","0",0,1.32,"N/A",0,0,1.17,"N/A","0",0,1.81,"N/A","0",0.16,NA,NA,NA,NA,"Photos only","mimic","Serendib volans",0.873774612977768
"MCZ28119","Corinnidae","Sphecotypus","niger",0.49,1.62,"0.30","0.70",2.15,7.14,0.3,0.7,2.34,5.5,"0.42","0.58",0.88,13.35,0.07,"-",0,1.14,1.37,"0.83","0.17",1.39,2.15,"0.65",0.35,1.79,2.1,"0.85","0.15",1.52,2.34,"0.65","0.35",0.34,NA,2.93,3.01,5.94,"Photos only","mimic","Sphecotypus niger",0
"JMS102","Salticidae","Apricia","jovialis",0.28,0.88,"0.32","0.68",1.5,2.17,0.69,0.31,1.45,2.51,"0.58","0.42",0,4.749,0,"-",0,0,0.59,"N/A","0",0,1.5,"N/A",0,0,0.81,"N/A","0",0,1.45,"N/A","0",0.16,NA,NA,NA,NA,"Photos only","mimic","Apricia jovialis",0.979133848715998
"JMS103","Salticidae","Astia","hariola",0.47,1.72,"0.27","0.73",1.82,2,0.91,0.09,1.51,2.78,"0.54","0.46",0,5,0,"-",0,0,0.95,"N/A","0",0,1.82,"N/A",0,0,1.15,"N/A","0",0,1.51,"N/A","0",0.14,NA,NA,NA,NA,"Photos only","mimic","Astia hariola",0.979133848715999
"JMS108","Salticidae","Damoetas","nitidus",0.16,0.61,"0.27","0.73",0.78,1.37,0.57,0.43,0.79,1.7,"0.47","0.53",0.13,3.18,0.04,"White stripes on opisthosoma",0.33,0,0.67,"N/A","0",0,0.78,"N/A",0,0.7,0.72,"0.97","0.03",0,0.79,"N/A","0",0.23,NA,NA,NA,NA,"Jims' photos / http://www.arachne.org.au/01_cms/details.asp?ID=2079","mimic","Damoetas nitidus",0.852704047967403
"KWS603","Salticidae","Helpis","minitabunda",0.42,2.1,"0.20","0.80",2.07,3.18,0.65,0.35,1.55,3.74,"0.42","0.58",0,7.11,0,"-",0,0,1.32,"N/A","0",0,2.07,"N/A",0,0,1.09,"N/A","0",0,1.55,"N/A","0",0.19,NA,NA,NA,NA,"-","mimic","Helpis minitabunda",0.707375813344
"JCS304","Salticidae","Judalana","lutea",0.18,0.73,"0.25","0.75",0.94,1.61,0.58,0.42,1.38,2.83,"0.49","0.51",0.09,4.45,0.02,"-",0,0.72,0.76,"0.94","0.06",0,0.94,"N/A",0,0,1.1,"N/A","0",0,1.38,"N/A","0",0.2,NA,NA,NA,NA,"Unable to measure petiole (image not sharp enough)","mimic","Judalana lutea",0.657040905214934
"JMS111","Salticidae","Judalana","lutea",0.18,0.77,"0.23","0.77",1.01,1.78,0.57,0.43,1.24,2.58,"0.48","0.52",0.09,3.94,0.02,"-",0,0.74,0.78,"0.96","0.04",0,1.01,"N/A",0,0,1.12,"N/A","0",0,0.91,"N/A","0",0.2,NA,NA,NA,NA,"Jims' photos only / *Abdomen described as oval elongated","mimic","Judalana lutea",0.662692108660326
"KWS605","Salticidae","Ligonipes","lacertosus",0.17,0.76,"0.23","0.77",0.91,1.87,0.49,0.51,1.04,2.11,"0.49","0.51",0.25,4.28,0.06,"White patches on opisthosoma",0.33,0.76,0.78,"0.98","0.02",0,0.91,"N/A",0,0.54,0.78,"0.69","0.31",0.96,1.04,"0.92","0.08",0.29,NA,1.06,1.35,2.4,"-","mimic","Ligonipes lacertosus",0.918416718263241
"SHS102","Salticidae","Ligonipes","lacertosus",0.19,0.78,"0.24","0.76",0.78,1.56,0.5,0.5,0.84,1.89,"0.44","0.56",0.17,3.63,0.05,"White patches on opisthosoma",0.33,0.68,0.71,"0.96","0.04",0,0.78,"N/A",0,0.5,0.73,"0.69","0.31",0.76,0.84,"0.90","0.10",0.29,NA,0.84,1.25,2.09,"-","mimic","Ligonipes lacertosus",0.883165024320374
"SHS103","Salticidae","Ligonipes","semitectus",0.16,0.65,"0.24","0.76",0.84,1.48,0.57,0.43,0.98,2.08,"0.47","0.53",0.25,3.65,0.07,"Stripes of lightly coloured hair on opisthosoma and prosoma",0.33,0.46,0.57,"0.82","0.18",0,0.84,"N/A",0,0.68,0.79,"0.87","0.13",0.71,0.98,"0.72","0.28",0.3,NA,1.06,1.33,2.39,"-","mimic","Ligonipes semitectus",0.979133848715998
"WWS101","Salticidae","Ligonipes","semitectus",0.15,0.61,"0.24","0.76",0.92,1.55,0.59,0.41,1.02,2.13,"0.48","0.52",0.21,3.97,0.05,"Stripes of lightly coloured hair on opisthosoma",0.33,0.59,0.71,"0.83","0.17",0,1.04,"N/A",0,0.7,0.83,"0.84","0.16",0.76,1.09,"0.74","0.26",0.3,NA,1.01,1.34,2.35,"-","mimic","Ligonipes semitectus",0.972872084020837
"MCZ93522","Salticidae","Myrmapana","centralis",0.15,0.64,"0.23","0.77",1.01,1.91,0.53,0.47,0.99,1.85,"0.54","0.46",0.08,3.86,0.02,"Patches of white hair on the prosoma and opisthosoma",0.67,0.67,0.75,"0.90","0.10",0.85,1.01,"0.84",0.16,0.52,0.61,"0.86","0.14",0.81,0.99,"0.82","0.18",0.33,NA,0.79,1.12,1.91,"Photos only/image:http://hasbrouck.asu.edu/neotrop/entomology/taxa/index.php?taxon=80023","mimic","Myrmapana centralis",0.979133848715998
"MCZ108610","Salticidae","Myrmapana","parallela",0.22,0.97,"0.23","0.77",1.23,2.26,0.54,0.46,1.36,2.81,"0.48","0.52",0.29,5.33,0.05,"White stripe on opisthosoma",0.33,0.94,1.07,"0.88","0.12",1.05,1.23,"0.85",0.15,1.11,1.13,"0.98","0.02",1.02,1.36,"0.75","0.25",0.3,NA,NA,NA,NA,"Photos only","mimic","Myrmapana parallela",0.767030489357276
"MCZ125078","Salticidae","Myrmapeni","chickeringi",0.2,0.68,"0.29","0.71",0.7,1.13,0.62,0.38,0.71,1.44,"0.49","0.51",0.13,2.71,0.05,"Black markings around PLE, pale patches on opisthosoma",0.67,0.45,0.49,"0.92","0.08",0,0.7,"N/A",0,0.45,0.47,"0.95","0.05",0.57,0.71,"0.81","0.19",0.29,NA,NA,NA,NA,"Photos only","mimic","Myrmapeni chickeringi",0.979133848715998
"MCZ128934","Salticidae","Myrmaplata","plataleoides",0.26,1.7,"0.15","0.85",1.45,3.09,0.47,0.53,1.47,3,"0.49","0.51",0.92,7.02,0.13,"Black markings around PLE",0.33,0.69,1.32,"0.52","0.48",1,1.45,"0.69",0.31,0.6,0.88,"0.68","0.32",0.79,1.47,"0.54","0.46",0.44,NA,1.9,2.03,3.93,"Photos only","mimic","Myrmaplata plataleoides",0.561005432996194
"JMS112","Salticidae","Myrmarachne","bicolor",0.25,0.99,"0.25","0.75",1.16,2.52,0.46,0.54,1.35,2.92,"0.46","0.54",0.22,5.77,0.04,"Band of white hairs on opisthosoma",0.33,0.966,1.186,"0.81","0.19",1.05,1.18,"0.91",0.09,1,1.2,"0.83","0.17",1.09,1.35,"0.81","0.19",0.32,NA,1.31,1.97,3.28,"Photos only/Appears very different in colouration to the other two M. bicolors)","mimic","Myrmarachne bicolor",0.655503970772066
"JCS303","Salticidae","Myrmarachne","bicolor",0.2,0.89,"0.23","0.77",1.02,2.36,0.43,0.57,1.21,2.58,"0.47","0.53",0.28,5.13,0.06,"Black markings around PLE",0.33,0.87,1.04,"0.84","0.16",0.96,1.02,"0.94",0.06,0.82,1.03,"0.80","0.20",0.99,1.21,"0.82","0.18",0.32,NA,1.08,2.01,3.09,"-","mimic","Myrmarachne bicolor",0.7017715584276
"JMS115","Salticidae","Myrmarachne","erythrocephala",0.34,1.16,"0.29","0.71",1.25,2.51,0.5,0.5,1.71,2.91,"0.59","0.41",0.29,5.67,0.05,"Dark and pale bands of hair on prosoma and opisthosoma",0.67,1.05,1.17,"0.89","0.11",1.16,1.25,"0.93",0.07,1.19,1.25,"0.95","0.05",1.4,1.71,"0.82","0.18",0.31,NA,NA,NA,NA,"Photos only/Possibly forma ornata (Pekar et al. 2017)","mimic","Myrmarachne erythrocephala",0.791716378997172
"JMS119","Salticidae","Myrmarachne","erythrocephala",0.23,0.78,"0.29","0.71",0.98,2.02,0.48,0.52,1.42,2.62,"0.54","0.46",0.22,4.92,0.04,"Dark and pale bands of hair on prosoma and opisthosoma",0.67,0.89,1.01,"0.88","0.12",0.93,1.03,"0.95",0.05,1.15,1.17,"0.98","0.02",1.18,1.42,"0.83","0.17",0.31,NA,NA,NA,NA,"Photos only/Possibly forma erato (Pekar et al. 2017)","mimic","Myrmarachne erythrocephala",0.78948085676846
"CRS101","Salticidae","Myrmarachne","formicaria",0.24,1.03,"0.24","0.76",1.65,3.46,0.48,0.52,1.44,2.98,"0.48","0.52",0.34,7.16,0.05,"White markings on opisthosoma",0.33,0.89,0.93,"0.95","0.05",0,1.65,"N/A",0,1.21,1.26,"0.96","0.04",0,1.44,"N/A","0",0.25,NA,NA,NA,NA,"Photos only","mimic","Myrmarachne formicaria",0.716455591514306
"TPS103","Salticidae","Myrmarachne","helensmithae",0.21,0.86,"0.24","0.76",1.65,3.09,0.53,0.47,1.02,2.87,"0.36","0.64",0.32,6.27,0.05,"Black markings around PLE",0.33,1.08,1.33,"0.81","0.19",1.27,1.65,"0.77",0.23,0.76,0.84,"0.91","0.09",0.91,1.02,"0.89","0.11",0.32,NA,NA,NA,NA,"Pekar et al 2017. Measurements taken from male.","mimic","Myrmarachne helensmithae",0.649502159324504
"MUS401","Salticidae","Myrmarachne","luctuosa",0.28,1.46,"0.19","0.81",1.53,3.14,0.49,0.51,1.31,3.2,"0.41","0.59",0.28,6.62,0.04,"White markings under prosoma, white markings on opisthosoma",0.67,0.97,1.16,"0.84","0.16",0,1.53,"N/A",0,1.41,1.56,"0.91","0.09",1.18,1.31,"0.91","0.09",0.33,NA,NA,NA,NA,"-","mimic","Myrmarachne luctuosa",0.829641854485385
"SRS102","Salticidae","Myrmarachne","luctuosa",0.25,1.5,"0.16","0.84",1.46,3.01,0.48,0.52,1.32,3.19,"0.41","0.59",0.3,6.59,0.05,"White markings under prosoma, white markings on opisthosoma",0.67,0.96,1.13,"0.85","0.15",0,1.46,"N/A",0,1.378,1.52,"0.91","0.09",1.21,1.32,"0.92","0.08",0.33,NA,NA,NA,NA,"","mimic","Myrmarachne luctuosa",0.820110518230618
"TPS104","Salticidae","Myrmarachne","macaulayi",0.12,0.63,"0.19","0.81",0.97,2.03,0.48,0.52,0.77,1.87,"0.41","0.59",0.24,4.23,0.06,"White markings under prosoma, white markings on opisthosoma",0.67,0.62,0.8,"0.77","0.23",0.65,0.83,"0.68",0.32,0.53,0.598,"0.89","0.11",0.54,0.87,"0.70","0.30",0.4,NA,1.01,1.26,2.26,"-","mimic","Myrmarachne macaulayi",0.772586851343254
"TPS310","Salticidae","Myrmarachne","macaulayi",0.18,1.03,"0.17","0.83",0.95,1.65,0.57,0.43,0.85,2.23,"0.38","0.62",0.3,4.56,0.07,"White spot/patch emphasise constriction on opisthosoma and prosoma",0.67,0.55,0.74,"0.74","0.26",0.63,0.95,"0.66",0.34,0.64,0.73,"0.88","0.12",0.59,0.85,"0.69","0.31",0.4,NA,1.02,1.48,2.5,"No videos available - Measurements and descriptions taken from TPS202 (same species)","mimic","Myrmarachne macaulayi",0.719309446970248
"JMS120","Salticidae","Myrmarachne","macleayana",0.16,0.73,"0.21","0.79",0.8,1.68,0.48,0.52,1.02,2.04,"0.50","0.50",0.26,3.94,0.07,"Patch of pale hair under prosoma, white stripe on opisthosma",0.67,0.49,0.64,"0.76","0.24",0.69,0.86,"0.86",0.14,0.99,1.03,"0.96","0.04",0.94,1.31,"0.92","0.08",0.34,NA,NA,NA,NA,"Photos only","mimic","Myrmarachne macleayana",0.888533793875815
"JMS122","Salticidae","Myrmarachne","macleayana",0.28,1.16,"0.24","0.76",1.43,2.94,0.49,0.51,1.42,2.95,"0.48","0.52",0.5,5.98,0.08,"Patch of pale hair under prosoma, dark stripe on opisthosoma",0.67,1.06,1.37,"0.77","0.23",1.22,1.43,"0.86",0.14,1.24,1.29,"0.96","0.04",1.27,1.42,"0.90","0.10",0.34,NA,NA,NA,NA,"Photos only","mimic","Myrmarachne macleayana",0.746956610662022
"TPS307","Salticidae","Myrmarachne","smaragdina",0.25,1.52,"0.16","0.84",1.23,2.75,0.45,0.55,1.5,3.56,"0.42","0.58",0.61,6.84,0.09,"Black markings around PLE, faint stripe on opithosoma",0.67,0.87,1.33,"0.66","0.34",0.97,1.23,"0.79",0.21,0.97,1.3,"0.75","0.25",1.25,1.5,"0.84","0.16",0.41,NA,1.93,2,3.93,"-","mimic","Myrmarachne smaragdina",0.502029662980112
